emplid,courseno,instructorid,termid,sectionid,grade
E0003,1115,I12,T04,S10,B
E0118,1115,I12,T04,S10,B
E0174,1115,I12,T04,S10,W
E0188,1115,I12,T04,S10,B
E0212,1115,I12,T04,S10,A+
E0232,1115,I12,T04,S10,B
E0242,1115,I12,T04,S10,W
E0253,1115,I12,T04,S10,W
E0294,1115,I12,T04,S10,W
E0402,1115,I12,T04,S10,A
E0490,1115,I12,T04,S10,W
E0508,1115,I12,T04,S10,W
E0514,1115,I12,T04,S10,WU
E0542,1115,I12,T04,S10,A
E0557,1115,I12,T04,S10,WD
E0578,1115,I12,T04,S10,F
E0720,1115,I12,T04,S10,WD
E0737,1115,I12,T04,S10,B+
E0756,1115,I12,T04,S10,C
E0844,1115,I12,T04,S10,A
E0859,1115,I12,T04,S10,A
E0866,1115,I12,T04,S10,A
E0868,1115,I12,T04,S10,B+
E1077,1115,I12,T04,S10,B
E1184,1115,I12,T04,S10,B
E1198,1115,I12,T04,S10,C
E1386,1115,I12,T04,S10,A-
E1476,1115,I12,T04,S10,B
E1517,1115,I12,T04,S10,W
E1597,1115,I12,T04,S10,A-
E0041,1115,I18,T04,S13,W
E0043,1115,I18,T04,S13,W
E0088,1115,I18,T04,S13,WU
E0119,1115,I18,T04,S13,F
E0123,1115,I18,T04,S13,W
E0177,1115,I18,T04,S13,W
E0187,1115,I18,T04,S13,WU
E0259,1115,I18,T04,S13,W
E0276,1115,I18,T04,S13,A
E0299,1115,I18,T04,S13,B
E0315,1115,I18,T04,S13,F
E0319,1115,I18,T04,S13,WD
E0320,1115,I18,T04,S13,F
E0333,1115,I18,T04,S13,W
E0398,1115,I18,T04,S13,B
E0420,1115,I18,T04,S13,B
E0460,1115,I18,T04,S13,C
E0481,1115,I18,T04,S13,A
E0531,1115,I18,T04,S13,A
E0544,1115,I18,T04,S13,D
E0563,1115,I18,T04,S13,A-
E0673,1115,I18,T04,S13,F
E0728,1115,I18,T04,S13,WU
E0979,1115,I18,T04,S13,W
E0996,1115,I18,T04,S13,B+
E1202,1115,I18,T04,S13,A
E1212,1115,I18,T04,S13,A
E1287,1115,I18,T04,S13,F
E1343,1115,I18,T04,S13,A-
E1640,1115,I18,T04,S13,A-
E0035,1115,I23,T04,S20,C
E0042,1115,I23,T04,S20,W
E0422,1115,I23,T04,S20,F
E0427,1115,I23,T04,S20,C+
E0443,1115,I23,T04,S20,W
E0476,1115,I23,T04,S20,C+
